Preferencial,Número do Cartão,Apelido,Nome Impresso,Bandeira,CVV
0,633337071894,Inter,Otavio M,Visa,562
1,156584573524,Nubank,Tereza C,MasterCard,968
1,453275552412,Meu cartão,Sophia G,Visa,405
1,942916161050,Inter,ALex Cav,Visa,694
1,122803076209,Bradesco,Anders F,MasterCard,241
1,775353296181,Meu cartão,Prisci I,Visa,161
1,183438034087,Itaú,Fabio C,Visa,542
1,211086147593,Meu cartão,Joaquim C,MasterCard,646
1,883634907724,C6Bank,Marcos A,MasterCard,599
1,118526098144,Meu cartão,Vanes M,MasterCard,123
